Removed Pin From Net: NetName=WF_LED_STATUS Pin=U8-39
Added Pin To Net: NetName=WF_SW_STATUS Pin=U8-39
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
