Change Physical Footprint: Designator=*1 Old Footprint=BK_LOGO New Footprint=BK_LOGO
Change Physical Footprint: Designator=C1 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C2 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C3 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C4 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C5 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C6 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C7 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C8 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C9 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C10 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C11 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C12 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C13 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C14 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C15 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C16 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C17 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C18 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C19 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C20 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C21 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C22 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C23 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C24 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C25 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C26 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C27 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C28 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C29 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C30 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C31 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C32 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C33 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C34 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C35 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C36 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=D1 Old Footprint=D_SMA New Footprint=D_SMA
Change Physical Footprint: Designator=D2 Old Footprint=D_SMA New Footprint=D_SMA
Change Physical Footprint: Designator=D3 Old Footprint=LED_0603Y New Footprint=LED_0603Y
Change Physical Footprint: Designator=D4 Old Footprint=LED_0603Y New Footprint=LED_0603Y
Change Physical Footprint: Designator=D5 Old Footprint=LED_0603Y New Footprint=LED_0603Y
Change Physical Footprint: Designator=D6 Old Footprint=LED_0603Y New Footprint=LED_0603Y
Change Physical Footprint: Designator=F1 Old Footprint=FUSER_MF-MSMF075/24-2 New Footprint=FUSER_MF-MSMF075/24-2
Change Physical Footprint: Designator=FB1 Old Footprint=Ferrite_Bead_0805 New Footprint=Ferrite_Bead_0805
Change Physical Footprint: Designator=FB2 Old Footprint=Ferrite_Bead_0805 New Footprint=Ferrite_Bead_0805
Change Physical Footprint: Designator=FB3 Old Footprint=Ferrite_Bead_0805 New Footprint=Ferrite_Bead_0805
Change Physical Footprint: Designator=H1 Old Footprint=MountingHole_3.2mm_M3_Pad_Via New Footprint=MountingHole_3.2mm_M3_Pad_Via
Change Physical Footprint: Designator=H2 Old Footprint=MountingHole_3.2mm_M3_Pad_Via New Footprint=MountingHole_3.2mm_M3_Pad_Via
Change Physical Footprint: Designator=H3 Old Footprint=MountingHole_3.2mm_M3_Pad_Via New Footprint=MountingHole_3.2mm_M3_Pad_Via
Change Physical Footprint: Designator=H4 Old Footprint=MountingHole_3.2mm_M3_Pad_Via New Footprint=MountingHole_3.2mm_M3_Pad_Via
Change Physical Footprint: Designator=J1 Old Footprint=Header_2.54mm_3P New Footprint=Header_2.54mm_3P
Change Physical Footprint: Designator=J2 Old Footprint=HANRUN_HR911105A New Footprint=HANRUN_HR911105A
Change Physical Footprint: Designator=J3 Old Footprint=JST-XH2.54-4P New Footprint=JST-XH2.54-4P
Change Physical Footprint: Designator=L1 Old Footprint=Inductor_0630 New Footprint=Inductor_0630
Change Physical Footprint: Designator=P1 Old Footprint=Terminal_Block_5.08mm_2P New Footprint=Terminal_Block_5.08mm_2P
Change Physical Footprint: Designator=P2 Old Footprint=Terminal_Block_3.81mm_2P New Footprint=Terminal_Block_3.81mm_2P
Change Physical Footprint: Designator=R1 Old Footprint=Resistor_0603 New Footprint=Resistor_0603
Change Physical Footprint: Designator=R2 Old Footprint=Resistor_0603 New Footprint=Resistor_0603
Change Physical Footprint: Designator=R3 Old Footprint=Resistor_0603 New Footprint=Resistor_0603
Change Physical Footprint: Designator=R4 Old Footprint=Resistor_0603 New Footprint=Resistor_0603
Change Physical Footprint: Designator=R5 Old Footprint=Resistor_0603 New Footprint=Resistor_0603
Change Physical Footprint: Designator=R6 Old Footprint=Resistor_0603 New Footprint=Resistor_0603
Change Physical Footprint: Designator=R7 Old Footprint=Resistor_0603 New Footprint=Resistor_0603
Change Physical Footprint: Designator=R8 Old Footprint=Resistor_0603 New Footprint=Resistor_0603
