2025-01-14 14:57:08,595 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8801 
2025-01-14 14:57:08,977 WARN  [AbstractRemotingServer#101] [main] Server started on port 8801
2025-01-14 14:58:44,934 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8801 
2025-01-14 14:58:45,292 WARN  [AbstractRemotingServer#101] [main] Server started on port 8801
2025-01-14 15:00:57,606 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 15:01:39,688 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 15:01:40,001 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 15:04:12,674 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 15:04:12,984 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 15:08:29,656 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 15:08:30,010 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 15:16:30,154 WARN  [ServerIdleHandler#49] [Rpc-netty-server-worker-1-thread-1] Connection idle, close it from server side: 192.168.1.15:52371
2025-01-14 15:16:30,156 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.15:52371, result=true, cause=null
2025-01-14 15:16:30,156 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-1] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.15:52371
2025-01-14 15:27:39,359 WARN  [ServerIdleHandler#49] [Rpc-netty-server-worker-1-thread-2] Connection idle, close it from server side: 192.168.1.15:52830
2025-01-14 15:27:39,361 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-2] Close the connection to remote address=192.168.1.15:52830, result=true, cause=null
2025-01-14 15:27:39,361 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-2] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.15:52830
2025-01-14 15:29:40,573 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 15:29:40,573 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-3] Close the connection to remote address=192.168.1.15:57079, result=true, cause=null
2025-01-14 15:29:40,574 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-3] Remove and close a standalone connection.
2025-01-14 16:03:54,667 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 16:03:55,050 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 16:04:33,351 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 16:04:33,787 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 16:09:58,365 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 16:09:58,366 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.19:52857, result=true, cause=null
2025-01-14 16:09:58,366 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-1] Remove and close a standalone connection.
2025-01-14 16:10:43,448 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 16:10:43,776 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 16:13:27,923 WARN  [ServerIdleHandler#49] [Rpc-netty-server-worker-1-thread-1] Connection idle, close it from server side: 192.168.1.19:58189
2025-01-14 16:13:27,927 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.19:58189, result=true, cause=null
2025-01-14 16:13:27,928 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-1] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.19:58189
2025-01-14 16:14:34,224 WARN  [ServerIdleHandler#49] [Rpc-netty-server-worker-1-thread-2] Connection idle, close it from server side: 192.168.1.19:49243
2025-01-14 16:14:34,226 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-2] Close the connection to remote address=192.168.1.19:49243, result=true, cause=null
2025-01-14 16:14:34,226 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-2] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.19:49243
2025-01-14 16:17:01,104 WARN  [ServerIdleHandler#49] [Rpc-netty-server-worker-1-thread-3] Connection idle, close it from server side: 192.168.1.15:59161
2025-01-14 16:17:01,105 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-3] Close the connection to remote address=192.168.1.15:59161, result=true, cause=null
2025-01-14 16:17:01,105 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-3] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.15:59161
2025-01-14 16:17:15,549 WARN  [ServerIdleHandler#49] [Rpc-netty-server-worker-1-thread-4] Connection idle, close it from server side: 192.168.1.19:57218
2025-01-14 16:17:15,550 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-4] Close the connection to remote address=192.168.1.19:57218, result=true, cause=null
2025-01-14 16:17:15,551 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-4] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.19:57218
2025-01-14 16:17:38,933 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-5] Close the connection to remote address=192.168.1.19:56708, result=true, cause=null
2025-01-14 16:17:38,933 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-5] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.19:56708
2025-01-14 16:20:25,522 WARN  [ServerIdleHandler#49] [Rpc-netty-server-worker-1-thread-6] Connection idle, close it from server side: 192.168.1.20:49417
2025-01-14 16:20:25,523 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-6] Close the connection to remote address=192.168.1.20:49417, result=true, cause=null
2025-01-14 16:20:25,523 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-6] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.20:49417
2025-01-14 16:28:59,604 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 16:28:59,605 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-7] Close the connection to remote address=192.168.1.20:58108, result=true, cause=null
2025-01-14 16:28:59,605 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-8] Close the connection to remote address=192.168.1.19:56709, result=true, cause=null
2025-01-14 16:28:59,605 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-7] Remove and close a standalone connection.
2025-01-14 16:28:59,605 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-8] Remove and close a standalone connection.
2025-01-14 16:29:13,408 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 16:29:14,063 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 16:31:36,313 WARN  [ServerIdleHandler#49] [Rpc-netty-server-worker-1-thread-2] Connection idle, close it from server side: 192.168.1.20:58114
2025-01-14 16:31:36,316 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-2] Close the connection to remote address=192.168.1.20:58114, result=true, cause=null
2025-01-14 16:31:36,316 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-2] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.20:58114
2025-01-14 16:38:01,903 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-6] Close the connection to remote address=192.168.1.15:62811, result=true, cause=null
2025-01-14 16:38:01,904 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-6] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.15:62811
2025-01-14 16:38:05,345 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.19:63430, result=true, cause=null
2025-01-14 16:38:05,345 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-1] Remove and close a standalone connection.
2025-01-14 16:38:05,346 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-3] Remove and close a standalone connection.
2025-01-14 16:38:05,347 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-3] Close the connection to remote address=192.168.1.20:64441, result=true, cause=null
2025-01-14 16:38:05,347 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 16:38:05,348 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-5] Close the connection to remote address=192.168.1.23:63557, result=true, cause=null
2025-01-14 16:38:05,348 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-5] Remove and close a standalone connection.
2025-01-14 16:38:05,348 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-4] Close the connection to remote address=192.168.1.22:62395, result=true, cause=null
2025-01-14 16:38:05,349 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-4] Remove and close a standalone connection.
2025-01-14 20:30:40,415 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 20:30:40,980 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 20:31:46,185 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 20:31:46,186 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.179:65283, result=true, cause=null
2025-01-14 20:31:46,187 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-1] Remove and close a standalone connection.
2025-01-14 20:37:14,501 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 20:37:15,051 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 20:58:54,682 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-2] Close the connection to remote address=192.168.1.194:51408, result=true, cause=null
2025-01-14 20:58:54,682 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-2] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.194:51408
2025-01-14 20:59:14,154 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-3] Close the connection to remote address=192.168.1.194:51425, result=true, cause=null
2025-01-14 20:59:14,154 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-3] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.194:51425
2025-01-14 21:10:58,323 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-4] Close the connection to remote address=192.168.1.194:51643, result=true, cause=null
2025-01-14 21:10:58,323 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-4] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.194:51643
2025-01-14 21:11:06,543 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-5] Close the connection to remote address=192.168.1.194:51650, result=true, cause=null
2025-01-14 21:11:06,543 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-5] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.194:51650
2025-01-14 21:19:51,506 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-6] Close the connection to remote address=192.168.1.194:51760, result=true, cause=null
2025-01-14 21:19:51,506 WARN  [DefaultConnectionManager#332] [Rpc-netty-server-worker-1-thread-6] Remove and close the last connection in ConnectionPool with poolKey 192.168.1.194:51760
2025-01-14 22:19:15,438 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 22:19:16,353 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 22:21:37,075 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 22:21:37,077 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.179:56183, result=true, cause=null
2025-01-14 22:21:37,077 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-1] Remove and close a standalone connection.
2025-01-14 22:41:35,782 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 22:41:37,045 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 22:44:09,169 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 22:44:09,169 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-1] Remove and close a standalone connection.
2025-01-14 22:44:09,170 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.179:56333, result=true, cause=null
2025-01-14 22:44:21,616 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 22:44:23,031 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 22:46:42,086 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 22:46:42,086 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.179:56335, result=true, cause=null
2025-01-14 22:46:42,087 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-1] Remove and close a standalone connection.
2025-01-14 23:41:51,464 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 23:41:52,576 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 23:42:53,076 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 23:42:53,076 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.179:56384, result=true, cause=null
2025-01-14 23:42:53,079 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-1] Remove and close a standalone connection.
2025-01-14 23:46:25,352 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 23:46:26,407 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 23:47:26,282 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 23:47:26,282 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.179:54232, result=true, cause=null
2025-01-14 23:48:41,137 WARN  [AbstractRemotingServer#99] [main] Prepare to start server on port 8899 
2025-01-14 23:48:42,076 WARN  [AbstractRemotingServer#101] [main] Server started on port 8899
2025-01-14 23:48:59,236 WARN  [DefaultConnectionManager#216] [SpringContextShutdownHook] All connection pool and connections have been removed!
2025-01-14 23:48:59,237 INFO  [Connection$1#309] [Rpc-netty-server-worker-1-thread-1] Close the connection to remote address=192.168.1.179:53870, result=true, cause=null
2025-01-14 23:48:59,238 WARN  [DefaultConnectionManager#327] [Rpc-netty-server-worker-1-thread-1] Remove and close a standalone connection.
